"State","Year","Nature","Incidents"
"Idaho",2007,"BSA.Structuring.Money.Laundering",429
"Idaho",2008,"BSA.Structuring.Money.Laundering",498
"Idaho",2009,"BSA.Structuring.Money.Laundering",525
"Idaho",2010,"BSA.Structuring.Money.Laundering",560
"Idaho",2011,"BSA.Structuring.Money.Laundering",0
"Idaho",2012,"BSA.Structuring.Money.Laundering",0
"Idaho",2013,"BSA.Structuring.Money.Laundering",0
"Idaho",2014,"BSA.Structuring.Money.Laundering",0
"Idaho",2015,"BSA.Structuring.Money.Laundering",0
"Idaho",2016,"BSA.Structuring.Money.Laundering",0
"Illinois",1996,"BSA.Structuring.Money.Laundering",413
"Illinois",1997,"BSA.Structuring.Money.Laundering",670
"Illinois",1998,"BSA.Structuring.Money.Laundering",720
"Illinois",1999,"BSA.Structuring.Money.Laundering",1109
"Illinois",2000,"BSA.Structuring.Money.Laundering",1635
"Illinois",2001,"BSA.Structuring.Money.Laundering",2058
"Illinois",2002,"BSA.Structuring.Money.Laundering",4687
"Illinois",2003,"BSA.Structuring.Money.Laundering",6915
"Illinois",2004,"BSA.Structuring.Money.Laundering",6716
"Illinois",2005,"BSA.Structuring.Money.Laundering",8090
"Illinois",2006,"BSA.Structuring.Money.Laundering",9027
"Illinois",2007,"BSA.Structuring.Money.Laundering",10592
"Illinois",2008,"BSA.Structuring.Money.Laundering",11388
"Illinois",2009,"BSA.Structuring.Money.Laundering",12058
"Illinois",2010,"BSA.Structuring.Money.Laundering",15659
"Illinois",2011,"BSA.Structuring.Money.Laundering",0
"Illinois",2012,"BSA.Structuring.Money.Laundering",0
"Illinois",2013,"BSA.Structuring.Money.Laundering",0
"Illinois",2014,"BSA.Structuring.Money.Laundering",0
"Illinois",2015,"BSA.Structuring.Money.Laundering",0
"Illinois",2016,"BSA.Structuring.Money.Laundering",0
"Indiana",1996,"BSA.Structuring.Money.Laundering",179
"Indiana",1997,"BSA.Structuring.Money.Laundering",277
"Indiana",1998,"BSA.Structuring.Money.Laundering",379
"Indiana",1999,"BSA.Structuring.Money.Laundering",462
"Indiana",2000,"BSA.Structuring.Money.Laundering",551
"Indiana",2001,"BSA.Structuring.Money.Laundering",687
"Indiana",2002,"BSA.Structuring.Money.Laundering",1267
"Indiana",2003,"BSA.Structuring.Money.Laundering",1294
"Indiana",2004,"BSA.Structuring.Money.Laundering",1649
"Indiana",2005,"BSA.Structuring.Money.Laundering",3053
"Indiana",2006,"BSA.Structuring.Money.Laundering",2739
"Indiana",2007,"BSA.Structuring.Money.Laundering",3152
"Indiana",2008,"BSA.Structuring.Money.Laundering",3767
"Indiana",2009,"BSA.Structuring.Money.Laundering",3985
"Indiana",2010,"BSA.Structuring.Money.Laundering",4130
"Indiana",2011,"BSA.Structuring.Money.Laundering",0
"Indiana",2012,"BSA.Structuring.Money.Laundering",0
"Indiana",2013,"BSA.Structuring.Money.Laundering",0
"Indiana",2014,"BSA.Structuring.Money.Laundering",0
"Indiana",2015,"BSA.Structuring.Money.Laundering",0
"Indiana",2016,"BSA.Structuring.Money.Laundering",0
"Iowa",1996,"BSA.Structuring.Money.Laundering",48
"Iowa",1997,"BSA.Structuring.Money.Laundering",96
"Iowa",1998,"BSA.Structuring.Money.Laundering",91
"Iowa",1999,"BSA.Structuring.Money.Laundering",169
"Iowa",2000,"BSA.Structuring.Money.Laundering",218
"Iowa",2001,"BSA.Structuring.Money.Laundering",245
"Iowa",2002,"BSA.Structuring.Money.Laundering",333
"Iowa",2003,"BSA.Structuring.Money.Laundering",263
"Iowa",2004,"BSA.Structuring.Money.Laundering",437
"Iowa",2005,"BSA.Structuring.Money.Laundering",687
"Iowa",2006,"BSA.Structuring.Money.Laundering",682
"Iowa",2007,"BSA.Structuring.Money.Laundering",737
"Iowa",2008,"BSA.Structuring.Money.Laundering",854
"Iowa",2009,"BSA.Structuring.Money.Laundering",942
"Iowa",2010,"BSA.Structuring.Money.Laundering",1075
"Iowa",2011,"BSA.Structuring.Money.Laundering",0
"Iowa",2012,"BSA.Structuring.Money.Laundering",0
