"State.Territory","Year","Incidents"
"West Virginia","2008",1402
"Wisconsin","2008",6256
"Wyoming","2008",595
"Alabama","2009",6098
"Alaska","2009",1597
"American Samoa","2009",145
"Arizona","2009",17616
"Arkansas","2009",2461
"California","2009",118496
"Colorado","2009",7875
"Connecticut","2009",6196
"Delaware","2009",43857
"District of Columbia","2009",2980
"Federated States of Micronesia","2009",0
"Florida","2009",52458
"Georgia","2009",16271
"Guam","2009",828
"Hawaii","2009",7374
"Idaho","2009",1133
"Illinois","2009",24061
"Indiana","2009",7025
"Iowa","2009",2154
"Kansas","2009",3400
"Kentucky","2009",3739
"Louisiana","2009",5268
"Maine","2009",1891
"Marshall Islands","2009",0
"Maryland","2009",9242
"Massachusetts","2009",12575
"Michigan","2009",17654
"Minnesota","2009",6174
"Mississippi","2009",3406
"Missouri","2009",20593
"Montana","2009",710
"Nebraska","2009",1987
"Nevada","2009",10809
"New Hampshire","2009",1571
"New Jersey","2009",22017
"New Mexico","2009",1487
"New York","2009",64169
"North Carolina","2009",21875
"North Dakota","2009",461
"Northern Mariana Islands","2009",317
"Ohio","2009",21472
"Oklahoma","2009",4331
"Oregon","2009",3590
"Overseas","2009",361
"Palau","2009",27
"Pennsylvania","2009",20593
"Puerto Rico","2009",9132
"Rhode Island","2009",3491
"South Carolina","2009",4928
"South Dakota","2009",11256
"Tennessee","2009",12492
"Texas","2009",45425
"U.S. Virgin Islands","2009",399
"Unknown/Blank","2009",7877
"Utah","2009",7166
"Vermont","2009",643
"Virginia","2009",20410
"Washington","2009",9207
"West Virginia","2009",1526
"Wisconsin","2009",7116
"Wyoming","2009",583
"Alabama","2010",5794
"Alaska","2010",1467
"American Samoa","2010",95
"Arizona","2010",16727
"Arkansas","2010",2781
"California","2010",125684
"Colorado","2010",8863
"Connecticut","2010",5997
"Delaware","2010",19480
"District of Columbia","2010",2598
"Federated States of Micronesia","2010",1
"Florida","2010",50178
"Georgia","2010",14733
"Guam","2010",1006
"Hawaii","2010",7920
"Idaho","2010",1069
"Illinois","2010",26435
"Indiana","2010",6802
"Iowa","2010",2101
"Kansas","2010",3432
"Kentucky","2010",4717
"Louisiana","2010",4924
"Maine","2010",2085
"Marshall Islands","2010",0
"Maryland","2010",9028
"Massachusetts","2010",13267
"Michigan","2010",16474
"Minnesota","2010",7458
"Mississippi","2010",3360
"Missouri","2010",20243
"Montana","2010",660
"Nebraska","2010",1879
"Nevada","2010",8510
"New Hampshire","2010",1661
"New Jersey","2010",24146
"New Mexico","2010",1578
"New York","2010",73737
"North Carolina","2010",16211
"North Dakota","2010",385
"Northern Mariana Islands","2010",299
"Ohio","2010",17643
"Oklahoma","2010",4983
"Oregon","2010",3463
"Overseas","2010",730
"Palau","2010",25
"Pennsylvania","2010",20894
"Puerto Rico","2010",8029
"Rhode Island","2010",2290
"South Carolina","2010",4471
"South Dakota","2010",10472
"Tennessee","2010",13493
"Texas","2010",48206
"U.S. Virgin Islands","2010",391
"Unknown/Blank","2010",2106
"Utah","2010",9301
"Vermont","2010",728
"Virginia","2010",18785
"Washington","2010",8772
"West Virginia","2010",1641
"Wisconsin","2010",6250
"Wyoming","2010",559
"Alabama","2011",6292
"Alaska","2011",1515
"American Samoa","2011",448
"Arizona","2011",20907
"Arkansas","2011",3101
"California","2011",159356
"Colorado","2011",9537
"Connecticut","2011",6518
"Delaware","2011",16226
"District of Columbia","2011",2885
"Federated States of Micronesia","2011",2
"Florida","2011",52258
"Georgia","2011",15811
"Guam","2011",1356
"Hawaii","2011",9945
"Idaho","2011",1210
"Illinois","2011",27140
"Indiana","2011",7788
"Iowa","2011",2116
"Kansas","2011",3707
"Kentucky","2011",4955
"Louisiana","2011",5861
"Maine","2011",2446
"Marshall Islands","2011",0
"Maryland","2011",9687
"Massachusetts","2011",14861
"Michigan","2011",17050
"Minnesota","2011",7671
"Mississippi","2011",3832
"Missouri","2011",13349
"Montana","2011",739
"Nebraska","2011",1876
"Nevada","2011",8596
"New Hampshire","2011",2084
"New Jersey","2011",30156
"New Mexico","2011",2088
"New York","2011",82332
"North Carolina","2011",14640
"North Dakota","2011",505
"Northern Mariana Islands","2011",256
"Ohio","2011",18932
"Oklahoma","2011",5411
"Oregon","2011",3973
"Overseas","2011",354
"Palau","2011",34
"Pennsylvania","2011",25597
"Puerto Rico","2011",7476
"Rhode Island","2011",2367
"South Carolina","2011",5108
"South Dakota","2011",10896
"Tennessee","2011",13129
"Texas","2011",74254
"U.S. Virgin Islands","2011",437
"Unknown/Blank","2011",761
"Utah","2011",13661
"Vermont","2011",925
"Virginia","2011",21309
"Washington","2011",9266
"West Virginia","2011",2213
"Wisconsin","2011",6897
"Wyoming","2011",608
"Alabama","2012",470
"Alaska","2012",29
"American Samoa","2012",127
"Arizona","2012",717
"Arkansas","2012",156
"California","2012",4460
"Colorado","2012",1068
"Connecticut","2012",221
"Delaware","2012",428
"District of Columbia","2012",129
"Federated States of Micronesia","2012",1
"Florida","2012",1627
"Georgia","2012",584
"Guam","2012",277
"Hawaii","2012",122
"Idaho","2012",98
"Illinois","2012",1195
"Indiana","2012",494
"Iowa","2012",316
"Kansas","2012",306
"Kentucky","2012",406
"Louisiana","2012",344
"Maine","2012",192
"Marshall Islands","2012",0
"Maryland","2012",471
"Massachusetts","2012",508
"Michigan","2012",398
"Minnesota","2012",386
"Mississippi","2012",278
"Missouri","2012",1213
"Montana","2012",63
"Nebraska","2012",170
"Nevada","2012",202
"New Hampshire","2012",73
"New Jersey","2012",701
"New Mexico","2012",207
"New York","2012",4555
"North Carolina","2012",411
"North Dakota","2012",65
"Northern Mariana Islands","2012",5
"Ohio","2012",615
"Oklahoma","2012",1163
"Oregon","2012",213
"Overseas","2012",NA
"Palau","2012",0
"Pennsylvania","2012",1096
"Puerto Rico","2012",669
"Rhode Island","2012",17
"South Carolina","2012",366
"South Dakota","2012",2529
"Tennessee","2012",586
"Texas","2012",1995
"U.S. Virgin Islands","2012",0
"Unknown/Blank","2012",1329
"Utah","2012",296
"Vermont","2012",55
"Virginia","2012",646
"Washington","2012",440
"West Virginia","2012",110
"Wisconsin","2012",698
"Wyoming","2012",45
"Alabama","2013",6896
"Alaska","2013",1390
"American Samoa","2013",609
"Arizona","2013",29373
"Arkansas","2013",2875
"California","2013",127480
"Colorado","2013",9400
"Connecticut","2013",7422
"Delaware","2013",32776
"District of Columbia","2013",2500
"Federated States of Micronesia","2013",8
"Florida","2013",53556
"Georgia","2013",20420
"Guam","2013",938
"Hawaii","2013",7616
"Idaho","2013",1407
"Illinois","2013",27482
"Indiana","2013",8931
"Iowa","2013",2485
"Kansas","2013",3292
"Kentucky","2013",5201
"Louisiana","2013",7237
"Maine","2013",2639
"Marshall Islands","2013",1
"Maryland","2013",11099
"Massachusetts","2013",11757
"Michigan","2013",14580
"Minnesota","2013",7362
"Mississippi","2013",3979
"Missouri","2013",12556
"Montana","2013",680
"Nebraska","2013",1847
"Nevada","2013",8907
"New Hampshire","2013",1499
"New Jersey","2013",25599
"New Mexico","2013",2222
"New York","2013",80962
"North Carolina","2013",39419
"North Dakota","2013",582
"Northern Mariana Islands","2013",180
"Ohio","2013",46832
"Oklahoma","2013",6170
"Oregon","2013",5341
