"State","Year","Nature","Incidents"
"Kansas",2010,"Bribery.Gratuity",1
"Kansas",2011,"Bribery.Gratuity",0
"Kentucky",1996,"Bribery.Gratuity",0
"Kentucky",1997,"Bribery.Gratuity",0
"Kentucky",1998,"Bribery.Gratuity",0
"Kentucky",1999,"Bribery.Gratuity",0
"Kentucky",2000,"Bribery.Gratuity",0
"Kentucky",2001,"Bribery.Gratuity",0
"Kentucky",2002,"Bribery.Gratuity",0
"Kentucky",2003,"Bribery.Gratuity",0
"Kentucky",2004,"Bribery.Gratuity",0
"Kentucky",2005,"Bribery.Gratuity",0
"Kentucky",2006,"Bribery.Gratuity",0
"Kentucky",2007,"Bribery.Gratuity",0
"Kentucky",2008,"Bribery.Gratuity",0
"Kentucky",2009,"Bribery.Gratuity",0
"Kentucky",2010,"Bribery.Gratuity",0
"Kentucky",2011,"Bribery.Gratuity",0
"Louisiana",1996,"Bribery.Gratuity",0
"Louisiana",1997,"Bribery.Gratuity",0
"Louisiana",1998,"Bribery.Gratuity",0
"Louisiana",1999,"Bribery.Gratuity",0
"Louisiana",2000,"Bribery.Gratuity",0
"Louisiana",2001,"Bribery.Gratuity",0
"Louisiana",2002,"Bribery.Gratuity",0
"Louisiana",2003,"Bribery.Gratuity",0
"Louisiana",2004,"Bribery.Gratuity",1
"Louisiana",2005,"Bribery.Gratuity",1
"Louisiana",2006,"Bribery.Gratuity",0
"Louisiana",2007,"Bribery.Gratuity",0
"Louisiana",2008,"Bribery.Gratuity",0
"Louisiana",2009,"Bribery.Gratuity",0
"Louisiana",2010,"Bribery.Gratuity",0
"Louisiana",2011,"Bribery.Gratuity",0
"Maine",1996,"Bribery.Gratuity",0
"Maine",1997,"Bribery.Gratuity",0
"Maine",1998,"Bribery.Gratuity",0
"Maine",1999,"Bribery.Gratuity",0
"Maine",2000,"Bribery.Gratuity",0
"Maine",2001,"Bribery.Gratuity",0
"Maine",2002,"Bribery.Gratuity",0
"Maine",2003,"Bribery.Gratuity",0
"Maine",2004,"Bribery.Gratuity",0
"Maine",2005,"Bribery.Gratuity",0
"Maine",2006,"Bribery.Gratuity",0
"Maine",2007,"Bribery.Gratuity",0
"Maine",2008,"Bribery.Gratuity",0
"Maine",2009,"Bribery.Gratuity",0
"Maine",2010,"Bribery.Gratuity",0
"Maine",2011,"Bribery.Gratuity",0
"Marshall Islands",1996,"Bribery.Gratuity",0
"Marshall Islands",1997,"Bribery.Gratuity",0
"Marshall Islands",1998,"Bribery.Gratuity",0
"Marshall Islands",1999,"Bribery.Gratuity",0
"Marshall Islands",2000,"Bribery.Gratuity",0
